Unit #,Unit Description,Department,Area,Model No.,Critical Unit,Serial No.,Install Date,Refrigerant,Filter Size,Tons,Asset Type,Location List,Number of Filters,Weight
744,4 Hi Chiller,CM 2,Tension Level,30XAB352F4-03H73,FALSE,2618Q96210,8/1/2019,R134,,350,Chiller,,0,CIR A 200LBS CIR B 195LBS
743,6 Hi Chiller,CM 2,Tension Level,30XAB352F4-03H73,FALSE,2618Q96216,8/1/2019,R134,,350,Chiller,,0,Circuit A 200LBS Circuit B 195lbs
088,Degasser Chiller,Degasser,Degasser Chiller,30HXC186R671K,FALSE,3812Q20437,,R134A,,185,Water Source Chiller,,0,135lbs x2
81A,Caster Chiller A West,Caster,Caster Chiller A West,30HXC096M--671KA,FALSE,3113Q21225,,R134A,,95,Water Source Chiller,,0,"""94LBS,70LBS"""
81B,Caster Chiller B East,Caster,Caster Chiller B East,30HXC096M--671KA,FALSE,3113Q21259,,R134A,,95,Water Source Chiller,,0,"""94LBS,70LBS"""
259,Pickle Chiller EAST,Pickle Line,Pickle Chiller EAST,30HXC086R661,FALSE,0908Q08834,,R134A,,85,Water Source Chiller,,0,76/75 LBS
260,Pickle Chiller WEST,Pickle Line,Pickle Chiller WEST,30HXC086R661,FALSE,0908Q08835,,R134A,,85,Water Source Chiller,,0,76/75 LBS
081,Caster Chiller,Caster,Caster Chiller,30HXC086R-671,FALSE,2316Q23534,1/1/2017,R134A,,85,Water Source Chiller,,0,"""75,76 LBS"""
402B,Melt Shop Chiller,MS Outer Bldgs,Melt Shop Chiller,30XAB0826T,FALSE,3513Q93330,,R134A,,75,Air to Air,,0,121
402A,Melt Shop Chiller,MS Outer Bldgs,Melt Shop Chiller,30XAB0826T,FALSE,3513Q93336,,R134A,,75,Air to Air,,0,121
235,Process Elect Galv Line Chiller,Cold Mill,Process Elect Galv Line Chiller,30GTN060631KA,FALSE,5103F70103,,R22,,60,Air to Air Chiller,,0,52/54LBS
135,Cyclo Rm. 3,Hot Mill,Cyclo Rm. 3,50BT044610,FALSE,0292F81586,,R22,24X24,50,Water Source,,10,26LB/26LB
131,Cyclo Rm. 5,Hot Mill,Cyclo Rm. 5,50BT044610,FALSE,0792F85973,,R22,24X24,50,Water Source,,10,26LB/26LB
405,Roll Mill Chiller,MS Outer Bldgs,Roll Mill Chilller,30GTN050620KA,FALSE,1702F49429,,R22,,50,Air to Air,,0,48/60 LB
404,Roll Mill Chiller,MS Outer Bldgs,Roll Mill Chilller,30GTN050620KA,FALSE,1902F52649,,R22,,50,Air to Air,,0,48/60 LB
134,Cyclo Rm.2,Hot Mill,Cyclo Rm.2,50BT054610,FALSE,2191F61805,,R22,24X24,50,Water Source,,10,33LB/33LB
133,Cyclo Rm. 1,Hot Mill,Cyclo Rm. 1,50BT054610,FALSE,2191F61806,,R22,24X24,50,Water Source,,10,33LB/33LB
226,Process Electric Back up Chiller,Cold Mill,Process Electric Back up Chiller,30RAP0506FA00100,FALSE,2314Q50880,,R410A,,50,Water Source Chiller,,0,
132,Cyclo Rm. 4,Hot Mill,Cyclo Rm. 4,50BT054610,FALSE,3091F68535,,R22,24X24,50,Water Source,,10,33LB/33LB
774,Exit MCC East 2,CM 2,Galv Line 2,TEH600BUB10B3LB1000000000000000000,FALSE,C21D02246,12/28/2020,R410A,16x20,50,Air To Air,,17,
775,Exit MCC West 2,CM 2,Galv Line 2,TEH600B4B10B3LB10000,FALSE,C21D02247,12/28/2020,R410A,16x20,50,Air To Air,,17,
080,Caster Air Handler,Caster,Caster Air Handler,MCCB030UAOAOUA,FALSE,K05E64501,,,20x20,50,Chilled Water Fan Coil,,20,
049,LMF 1&2 MCC KOOLTRONIC,LMF,LMF 1&2 MCC KOOLTRONIC,TCV240AFCFTS,FALSE,224011766,6/14/2023,R-410A,20X20,40,Water Source,,8,196 OZ
485,Water Systems 5 Laminar Water,Outer Bldgs,Water Systems 5 Laminar Water,9740C31VPAC,FALSE,908062048,,R22,24X24,40,Water Source,,8,38LB X 2
767,Process MCC East,CM 2,Galv Line 2,TEH480B4BY0BB2JB10000000000,FALSE,C20K06349,12/28/2020,R410A,16x20,40,Air To Air,,17,
768,CM2 Process MCC WEST,CM 2,Galv Line 2,TEH480B4BY0BB2JB10000000000,FALSE,CK0K0635,12/28/2020,R410A,16x20,40,Air To Air,,17,
130,Cyclo Rm. McQuay,Hot Mill,Cyclo Rm. McQuay,SWT040C27AL1MYY1010,FALSE,FB0U000800178,,R22,24X24 20X20,40,Water Source,,0,13.75X4
679,NEW MS COMPRESSOR RM. SOUTH,MS Outer Bldgs,NEW MS COMPRESSOR RM. SOUTH,SWT040C27AL1MYY1010,FALSE,FB0U000800181,1/1/2017,R22,24X24,40,Water Source,,8,"""15,16,12,12LB"""
678,NEW MS COMPRESSOR RM. NORTH,MS Outer Bldgs,NEW MS COMPRESSOR RM. NORTH,SWT040C27AL1MYY1010,FALSE,FB0U000800288,1/1/2017,R427-A,24X24,40,Water Source,,8,"""15,16,12,12LB"""
461,Cooper Air Compressor Room,MS Outer Bldgs,Cooper Air Compressor Room,SWT040C27A4MYY,FALSE,FBOU0008000183,,R22,24X24 20X20,40,Water Source,,0,"15,16,12,12 LB"
488,CENTAC COMP ROOM,Outer Bldgs,CENTAC COMP ROOM,SWT040C27A4MYY,FALSE,FBOU0008000199,,R22,24X24 20X20,40,Water Source,,0,"""15,16,12,12LB"""
